token,date_in,buy_price,date_out,sell_price,profit_percentage
TSLA,2025-02-11 00:00:00-05:00,328.5,2025-02-28 00:00:00-05:00,292.9800109863281,-10.81278204373573
AMZN,2024-08-05 00:00:00-04:00,161.02000427246094,2024-09-11 00:00:00-04:00,184.5200042724609,14.594459928243305
BTC-USD,2024-08-04 00:00:00+00:00,58116.9765625,2024-08-23 00:00:00+00:00,64094.35546875,10.285082362847668
BTC-USD,2025-02-25 00:00:00+00:00,88736.171875,2025-03-02 00:00:00+00:00,85979.171875,-3.1069629687019895
ETH-USD,2024-04-13 00:00:00+00:00,3004.900390625,2024-05-20 00:00:00+00:00,3663.85546875,21.929348479599405
ETH-USD,2024-07-04 00:00:00+00:00,3054.52197265625,2024-09-20 00:00:00+00:00,2561.072021484375,-16.1547356866045
ETH-USD,2025-02-02 00:00:00+00:00,2868.69287109375,2025-02-23 00:00:00+00:00,2821.310302734375,-1.651712835376113
ETH-USD,2025-02-26 00:00:00+00:00,2331.45263671875,2025-03-02 00:00:00+00:00,2245.66845703125,-3.679430511967479
